name,link_player_page,slug,player_id,team,tournament_name_new
Francesco Acerbi,https://fbref.com/en/players/b96b595c/Francesco-Acerbi,francesco-acerbi,b96b595c,Inter,Serie A
Josep Martinez,https://fbref.com/en/players/11d8aff0/Josep-Martinez,josep-martinez,11d8aff0,Inter,Serie A
Petar Sučić,,petar-sucic,,Inter,Serie A
Tajon Buchanan,https://fbref.com/en/players/3aca6420/Tajon-Buchanan,tajon-buchanan,3aca6420,Inter,Serie A
Valentín Carboni,,valentin-carboni,,Inter,Serie A
Mattia Perin,https://fbref.com/en/players/4c62d0c8/Mattia-Perin,mattia-perin,4c62d0c8,Juventus,Serie A
Nicolò Savona,,nicolo-savona,,Juventus,Serie A
Hernani,https://fbref.com/en/players/6f5ead86/Hernani,hernani,6f5ead86,Parma,Serie A
Marin Pongračić,https://fbref.com/en/players/2a6cd437/Marin-Pongracic,marin-pongracic,2a6cd437,Fiorentina,Serie A
Luca Mazzitelli,https://fbref.com/en/players/dc61b402/Luca-Mazzitelli,luca-mazzitelli,dc61b402,Cagliari,Serie A
Nikola Vlašić,https://fbref.com/en/players/aa8e289e/Nikola-Vlasic,nikola-vlasic,aa8e289e,Torino,Serie A
Boulaye Dia,https://fbref.com/en/players/244bc2c8/Boulaye-Dia,boulaye-dia,244bc2c8,Lazio,Serie A
Éderson,https://fbref.com/en/players/a9202def/Ederson,ederson,a9202def,Atalanta,Serie A
Sead Kolašinac,https://fbref.com/en/players/3935e52e/Sead-Kolasinac,sead-kolasinac,3935e52e,Atalanta,Serie A
Zeki Çelik,https://fbref.com/en/players/31a62dc7/Zeki-Celik,zeki-celik,31a62dc7,Roma,Serie A
Mathías Olivera,https://fbref.com/en/players/41c12f75/Mathias-Olivera,mathias-olivera,41c12f75,Napoli,Serie A
Yunus Musah,https://fbref.com/en/players/b51b1b9c/Yunus-Musah,yunus-musah,b51b1b9c,Milan,Serie A
Timothy Weah,https://fbref.com/en/players/8eec784d/Timothy-Weah,timothy-weah,8eec784d,Juventus,Serie A
Fisayo Dele-Bashiru,https://fbref.com/en/players/121a4fb8/Fisayo-Dele-Bashiru,fisayo-dele-bashiru,121a4fb8,Lazio,Serie A
Luca Pellegrini,https://fbref.com/en/players/3b61c9ec/Luca-Pellegrini,luca-pellegrini,3b61c9ec,Lazio,Serie A
Tijjani Noslin,https://fbref.com/en/players/2f067cf2/Tijjani-Noslin,tijjani-noslin,2f067cf2,Lazio,Serie A
Florian Thauvin,https://fbref.com/en/players/2b9fdeea/Florian-Thauvin,florian-thauvin,2b9fdeea,Udinese,Serie A
Lucas Beltrán,,lucas-beltran,,Fiorentina,Serie A
Valentín Castellanos,https://fbref.com/en/players/da76bab4/Valentin-Castellanos,valentin-castellanos,da76bab4,Lazio,Serie A
Ademola Lookman,https://fbref.com/en/players/7c104bb7/Ademola-Lookman,ademola-lookman,7c104bb7,Atalanta,Serie A
Arkadiusz Milik,https://fbref.com/en/players/85613cf0/Arkadiusz-Milik,arkadiusz-milik,85613cf0,Juventus,Serie A
Juan Miranda,https://fbref.com/en/players/ead61f73/Juan-Miranda,juan-miranda,ead61f73,Bologna,Serie A
Sergi Roberto,https://fbref.com/en/players/335fa267/Sergi-Roberto,sergi-roberto,335fa267,Como,Serie A
Amir Richardson,https://fbref.com/en/players/2b7cdb79/Amir-Richardson,amir-richardson,2b7cdb79,Fiorentina,Serie A
Jacopo Fazzini,,jacopo-fazzini,,Fiorentina,Serie A
Luca Ranieri,https://fbref.com/en/players/8c63fae5/Luca-Ranieri,luca-ranieri,8c63fae5,Fiorentina,Serie A
Mohamed Fares,https://fbref.com/en/players/b7a5bc86/Mohamed-Fares,mohamed-fares,b7a5bc86,Lazio,Serie A
Patric,https://fbref.com/en/players/f7223718/Patric,patric,f7223718,Lazio,Serie A
Michael Folorunsho,https://fbref.com/en/players/c391a179/Michael-Folorunsho,michael-folorunsho,c391a179,Cagliari,Serie A
Devyne Rensch,https://fbref.com/en/players/c5cbbcff/Devyne-Rensch,devyne-rensch,c5cbbcff,Roma,Serie A
Rafa Marín,,rafa-marin,,Napoli,Serie A
Juan David Cabal,https://fbref.com/en/players/ef6eef89/Juan-David-Cabal,juan-david-cabal,ef6eef89,Juventus,Serie A
Jonathan Ikone,https://fbref.com/en/players/42eaa028/Jonathan-Ikone,jonathan-ikone,42eaa028,Fiorentina,Serie A
Nikola Krstović,,nikola-krstovic,,Atalanta,Serie A
Suat Serdar,https://fbref.com/en/players/b3325a30/Suat-Serdar,suat-serdar,b3325a30,Hellas Verona,Serie A
Pablo Marí,https://fbref.com/en/players/aa54ec6f/Pablo-Mari,pablo-mari,aa54ec6f,Fiorentina,Serie A
Toma Bašić,https://fbref.com/en/players/80556f08/Toma-Basic,toma-basic,80556f08,Lazio,Serie A
Victor Nelsson,https://fbref.com/en/players/e53b5534/Victor-Nelsson,victor-nelsson,e53b5534,Hellas Verona,Serie A
Daniel Maldini,https://fbref.com/en/players/801831fe/Daniel-Maldini,daniel-maldini,801831fe,Atalanta,Serie A
Roberto Piccoli,https://fbref.com/en/players/1cadaf34/Roberto-Piccoli,roberto-piccoli,1cadaf34,Cagliari,Serie A
Tommaso Baldanzi,https://fbref.com/en/players/102e2599/Tommaso-Baldanzi,tommaso-baldanzi,102e2599,Roma,Serie A
Valentino Lazaro,https://fbref.com/en/players/016ff750/Valentino-Lazaro,valentino-lazaro,016ff750,Torino,Serie A
Dodô,https://fbref.com/en/players/b5f7d10b/Dodo,dodo,b5f7d10b,Fiorentina,Serie A
Gustav Isaksen,,gustav-isaksen,,Lazio,Serie A
El Bilal Touré,https://fbref.com/en/players/47c609d5/El-Bilal-Toure,el-bilal-toure,47c609d5,Atalanta,Serie A
Lazar Samardzic,https://fbref.com/en/players/217c93a1/Lazar-Samardzic,lazar-samardzic,217c93a1,Atalanta,Serie A
Warren Bondo,https://fbref.com/en/players/0def2376/Warren-Bondo,warren-bondo,0def2376,Cremonese,Serie A
Yerry Mina,https://fbref.com/en/players/6d5701f2/Yerry-Mina,yerry-mina,6d5701f2,Cagliari,Serie A
Yann Aurel Bisseck,https://fbref.com/en/players/3963c25b/Yann-Aurel-Bisseck,yann-aurel-bisseck,3963c25b,Inter,Serie A
Dennis Man,https://fbref.com/en/players/2079b3cc/Dennis-Man,dennis-man,2079b3cc,Parma,Serie A
Nicolás Valentini,https://fbref.com/en/players/a43e4f9c/Nicolas-Valentini,nicolas-valentini,a43e4f9c,Hellas Verona,Serie A
Kevin Bonifazi,https://fbref.com/en/players/fb77bfef/Kevin-Bonifazi,kevin-bonifazi,fb77bfef,Bologna,Serie A
Remo Freuler,https://fbref.com/en/players/98d2c2c4/Remo-Freuler,remo-freuler,98d2c2c4,Bologna,Serie A
Tommaso Pobega,https://fbref.com/en/players/55a1cac2/Tommaso-Pobega,tommaso-pobega,55a1cac2,Bologna,Serie A
Alberto Dossena,https://fbref.com/en/players/61efb926/Alberto-Dossena,alberto-dossena,61efb926,Como,Serie A
Máximo Perrone,,maximo-perrone,,Como,Serie A
Pietro Comuzzo,,pietro-comuzzo,,Fiorentina,Serie A
Loum Tchaouna,https://fbref.com/en/players/a3c8b4d3/Loum-Tchaouna,loum-tchaouna,a3c8b4d3,Lazio,Serie A
Marco Brescianini,https://fbref.com/en/players/dfd56738/Marco-Brescianini,marco-brescianini,dfd56738,Atalanta,Serie A
Marten de Roon,https://fbref.com/en/players/2a1beb34/Marten-de-Roon,marten-de-roon,2a1beb34,Atalanta,Serie A
Odilon Kossounou,https://fbref.com/en/players/1f3afdcb/Odilon-Kossounou,odilon-kossounou,1f3afdcb,Atalanta,Serie A
Federico Bonazzoli,https://fbref.com/en/players/bf57eaab/Federico-Bonazzoli,federico-bonazzoli,bf57eaab,Cremonese,Serie A
Sebastiano Luperto,https://fbref.com/en/players/997fff07/Sebastiano-Luperto,sebastiano-luperto,997fff07,Cagliari,Serie A
Daniele Ghilardi,,daniele-ghilardi,,Roma,Serie A
