slug,role,team_name_short,presenze_pred,presenze_pred.1,starts_pred,titolare_pred,fmv_pred,mv_pred,gf_pred,assist_pred,clean_sheet_pred,price
daniel-oyegoke,D,Hellas Verona,15.0,15.0,10.0,0,5.887025495673875,5.863089123266729,0.3237441506832661,0.2031984249474093,0.0,1.56
edoardo-pieragnolo,D,Sassuolo,11.0,11.0,11.0,0,5.782020379662266,5.656789511131613,0.5267185533319391,0.5512423377447524,0.0,1.56
alberto-grassi,C,Cremonese,20.0,20.0,18.0,0,5.950127097338938,5.895469047331332,0.593705147123391,0.7725437505888038,0.0,2.208
adrian-rus,D,Pisa,18.0,18.0,12.0,0,6.00283113478037,5.943569027048981,1.224682919802324,0.3892950708575384,0.0,1.29
oliver-abildgaard,C,Como,19.0,19.0,11.0,0,5.7377881872596905,5.6378856623360845,0.8722506237972882,1.39092415794214,0.0,1.1
martin-payero,C,Udinese,15.0,15.0,7.0,0,6.07723662787476,5.921943525247264,1.342750911550766,1.515749397026745,0.0,2.36
mehdi-leris,C,Pisa,22.0,22.0,15.0,0,5.883972040951012,5.761624684097369,1.078784367174917,0.9544757092186112,0.0,1.016
alessandro-deiola,C,Cagliari,20.0,20.0,12.0,0,5.868420631869871,5.792287042109741,1.128153684113167,0.8835486271918565,0.0,2.552
warren-bondo,C,Cremonese,19.0,19.0,8.0,0,5.959142710688118,5.868299460598481,1.657446519495618,0.7233356900563747,0.0,3.896
razvan-sava,P,Udinese,8.0,8.0,8.0,0,4.611793127652384,6.002957162178617,9.689899875984e-05,0.0003351089170017,1.9925301706374068,2.7199999999999998
laurs-skjellerup,A,Sassuolo,3.0,3.0,1.0,0,5.88,5.88,0.3725144586858263,0.1349391448236999,0.0,0.685
brenner,A,Udinese,5.0,5.0,2.0,0,6.094311908732563,5.938401947037787,0.829050984262363,0.3495761984046902,0.0,2.6799999999999997
damian-pizarro,A,Udinese,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,1.255
lameck-banda,A,Lecce,12.0,12.0,8.0,0,6.162838818514672,5.985962513782365,0.7650209354280533,1.66346469253909,0.0,2.6799999999999997
henrik-meister,A,Pisa,7.0,7.0,3.0,0,6.021199459237584,5.728255620921974,1.3596293718222452,0.3515240145650283,0.0,4.1049999999999995
youssef-maleh,C,Lecce,22.0,22.0,16.0,0,5.864444380919034,5.796550015289112,0.5001218635514991,1.2004945629145292,0.0,1.552
mohamed-kaba,C,Lecce,25.0,25.0,18.0,0,5.880164347198646,5.832245440742194,0.087139025473921,1.105327113563458,0.0,0.784
gvidas-gineitis,C,Torino,9.0,9.0,5.0,0,5.940669361855239,5.906819579804352,0.2968622973587667,0.1635992748841233,0.0,2.512
mattia-felici,C,Cagliari,15.0,15.0,6.0,0,6.131055513109581,5.829218867263919,0.5634395838741355,2.3338284135299285,0.0,2.896
ebenezer-akinsanmiro,C,Pisa,6.0,6.0,3.0,0,5.956896667356379,5.854217795497945,0.2926035731618688,0.2296328571764621,0.0,2.896
maximo-perrone,C,Como,24.0,24.0,19.0,1,5.950181469786196,5.917490367938742,0.0407985851702095,0.7307142535029115,0.0,4.048
gianluca-gaetano,C,Cagliari,18.0,18.0,15.0,0,6.239432162143036,6.07398412658298,1.0123239339202257,0.7633893566717816,0.0,2.7039999999999997
cher-ndour,C,Fiorentina,9.0,9.0,1.0,0,5.811867914787294,5.749491087291397,0.3742455906373272,0.1570402071405923,0.0,1.1680000000000001
filip-marchwinski,C,Lecce,12.0,12.0,3.0,0,6.011119642072546,5.924547020503355,0.6678116857020451,0.6828472856365876,0.0,0.784
yunus-musah,C,Milan,22.0,22.0,16.0,0,5.904393644107275,5.817394181633898,0.0405752751736527,1.8064260690416816,0.0,2.128
emirhan-ilkhan,C,Torino,6.0,6.0,1.0,0,5.875607979738399,5.795401403843184,0.6360217237583998,0.1681940890395643,0.0,0.5920000000000001
simone-pafundi,C,Udinese,2.0,2.0,0.0,0,6.0,6.0,0.0438985471287574,0.0385106478952953,0.0,1.552
vasilije-adzic,C,Juventus,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,0.5920000000000001
gabriele-piccinini,C,Pisa,15.0,15.0,7.0,0,5.951106095655843,5.840766183370067,0.6366524170635969,0.6494320049014969,0.0,2.128
medon-berisha,C,Lecce,6.0,6.0,3.0,0,5.899737896616904,5.822832093390952,0.1516675575783448,0.3766823390978456,0.0,1.7440000000000002
hamza-rafia,C,Lecce,17.0,17.0,10.0,0,5.823795828861166,5.809189677781974,0.2738428039970931,0.1202918586978679,0.0,1.7440000000000002
edoardo-iannoni,C,Sassuolo,17.0,17.0,8.0,0,5.9275444397405055,5.869429551362609,0.4878523281205367,0.345616424280382,0.0,1.7440000000000002
reda-belahyane,C,Lazio,7.0,7.0,1.0,0,5.952580923337068,5.915141539806741,0.0301657398610154,0.237414463894602,0.0,1.3599999999999999
andrea-ghion,C,Sassuolo,8.0,8.0,4.0,0,5.8899817130092025,5.874532563000619,0.0134724430863597,0.0666341679876702,0.0,2.512
oier-zarraga,C,Udinese,14.0,14.0,8.0,0,6.0208552824686965,5.95895601932772,0.9804259146154408,0.3467979808916453,0.0,1.552
alessandro-bianco,C,Fiorentina,15.0,15.0,15.0,0,5.946403391340861,5.926067620851822,0.3191618977279044,0.1538512362794465,0.0,0.784
dele-alli,C,Como,2.0,2.0,1.0,0,5.886877981836999,5.846413503103632,0.6848656355427981,0.3288934033395274,0.0,0.5920000000000001
mikael-ellertsson,C,Genoa,9.0,9.0,6.0,0,6.012887177660745,5.880149642362996,0.8223763961897645,0.7485708704733802,0.0,2.896
niccolo-pisilli,C,Roma,15.0,15.0,11.0,0,6.157702962826755,6.032049193229437,0.9934693653365828,0.1122280255934006,0.0,3.28
balthazar-pierret,C,Lecce,24.0,24.0,19.0,1,5.801995525591586,5.770301607975492,0.985672823355986,0.2428547365107466,0.0,2.7039999999999997
santiago-pierotti,C,Lecce,20.0,20.0,18.0,0,6.12528035790875,5.957024390814202,0.7820877936047521,0.9147544282589704,0.0,4.24
mandela-keita,C,Parma,25.0,25.0,18.0,0,5.764981045709015,5.717845719827694,0.0385625544793211,0.671422981558739,0.0,2.32
michel-aebischer,C,Pisa,20.0,20.0,14.0,0,5.9604263888107445,5.890975811336691,0.8441179488315632,0.9216929422792074,0.0,3.088
alberto-dossena,D,Como,22.0,22.0,19.0,1,5.891450638201417,5.852751384734827,0.0594201610182806,0.7867030451424238,0.0,3.37
alberto-moreno,D,Como,17.0,17.0,14.0,0,5.937400582280104,5.88945931268029,0.054623308492092,0.7540238582845595,0.0,2.29
tiago-gabriel,D,Lecce,24.0,24.0,23.0,0,6.076656247809817,6.053837350752722,0.1994898988449885,0.0474072282817296,0.0,1.7400000000000002
marco-palestra,D,Atalanta,7.0,7.0,3.0,0,6.084,6.084,0.1050859004520783,0.0333875741682895,0.0,2.56
ivan-smolcic,D,Como,21.0,21.0,18.0,0,5.760043421216846,5.697051796585512,0.1659094159328026,0.7008943841279499,0.0,1.75
