player_id,slug,team_name_short_new,tournament_name_new,role_new,minutes_hint,starter_hint
232b3da4,stefan-mitrovic,Hellas Verona,Serie A,,,
78e6bf2c,brian-bayeye,Torino,Serie A,,,
2d9d9e42,kacper-urbanski,Bologna,Serie A,,,
97022551,alex-valle,Como,Serie A,D,,
e1a873eb,henrik-meister,Pisa,Serie A,A,,
0588a092,frank-tsadjout,Cremonese,Serie A,,,
5e834dce,luca-zanimacchia,Cremonese,Serie A,C,,
ec315772,santiago-pierotti,Lecce,Serie A,C,,
83fe71b8,tomas-suslov,Hellas Verona,Serie A,C,,
ea3b4578,goncalo-esteves,Udinese,Serie A,,,
8daee720,simone-pafundi,Udinese,Serie A,C,,
928143e7,elayis-tavsan,Hellas Verona,Serie A,,,
f95f49d2,yayah-kallon,Hellas Verona,Serie A,,,
c1b9b13c,tommaso-corazza,Bologna,Serie A,,,
2bf50b37,ignace-van-der-brempt,Como,Serie A,D,,
b2561711,tommaso-milanese,Cremonese,Serie A,,,
d6daf00a,stefano-gori,Juventus,Serie A,,,
8a9ff091,rachid-kouda,Parma,Serie A,,,
d3e0c826,dimitrije-kamenovic,Lazio,Serie A,,,
41bd99ea,simone-scuffet,Cagliari,Serie A,P,,
72f5b81f,juan-cruz,Hellas Verona,Serie A,,,
64c8a83b,peter-kovacik,Como,Serie A,,,
13b9e2fb,lorenzo-amatucci,Fiorentina,Serie A,,,
2e0ae188,matteo-tramoni,Pisa,Serie A,C,,
f1253f46,sana-fernandes,Lazio,Serie A,,,
282947c7,giuseppe-ambrosino,Napoli,Serie A,,,
c59f90b0,edgaras-dubickas,Pisa,Serie A,,,
d19ef4ef,alessio-zerbin,Cremonese,Serie A,C,,
848c17ed,antonio-vergara,Napoli,Serie A,,,
c609e90e,jayden-braaf,Hellas Verona,Serie A,,,
ec6773f5,mateusz-praszelik,Hellas Verona,Serie A,,,
1d4e63b6,pablo-rodriguez,Lecce,Serie A,,,
7452c7a8,ben-lhassine-kone,Como,Serie A,,,
0c57be8b,marco-sala,Como,Serie A,,,
6c4307ee,tommaso-cassandro,Como,Serie A,,,
a214da59,sebastian-otoa,Genoa,Serie A,D,,
e0ce7038,alessandro-di-pardo,Cagliari,Serie A,D,,
da77b60b,riccardo-ciervo,Sassuolo,Serie A,,,
871ec5b7,anthony-partipilo,Parma,Serie A,,,
c9866d69,daniel-oyegoke,Hellas Verona,Serie A,D,,
1b9c7401,giacomo-quagliata,Cremonese,Serie A,D,,
6503f220,antoine-hainaut,Parma,Serie A,D,,
905a4f61,orji-okwonkwo,Bologna,Serie A,,,
6cfd5783,idrissa-toure,Pisa,Serie A,A,,
1a927a6f,ali-jasim,Como,Serie A,,,
29812be3,gabriele-artistico,Lazio,Serie A,,,
f9124307,antoine-joujou,Parma,Serie A,,,
3a0f199a,pietro-beruatto,Pisa,Serie A,,,
57f86750,marco-curto,Como,Serie A,,,
a4e9d6eb,lisandru-tramoni,Pisa,Serie A,C,,
,romano-floriani-mussolini,Lazio,Serie A,D,,
