player_id,name,team_name_short,season,tournament_name,tournament_country,role,presenze,assist,mv,fmv,gf,gs,rp,rc,r_plus,r_minus,amm,esp,au,starts_eleven,min_playing_time,injured,total_duels_won_percentage,total_duels_won,possession_lost,total_shots,shots_on_target,goal_conversion_percentage,free_kick_shots,penalty_won,successful_dribbles,successful_dribbles_percentage,touches,key_passes,accurate_passes_percentage,total_passes,accurate_passes,accurate_crosses,total_cross,accurate_final_third_passes,accurate_opposition_half_passes,tackles,tackles_won_percentage,tackles_won,interceptions,fouls,error_lead_to_goal,penalty_conceded,clean_sheet,saves,penalty_faced,big_chances_created,pass_to_assist,accurate_chipped_passes,accurate_long_balls,accurate_long_balls_percentage,aerial_duels_won,aerial_duels_won_percentage,aerial_lost,attempt_penalty_miss,attempt_penalty_target,big_chances_create,blocked_shots,clearances,crosses_not_claimed,dispossessed,duel_lost,error_lead_to_shot,expected_goals,hit_woodwork,inaccurate_passes,offsides,penalty_conversion,possession_won_att_third,punches,scoring_frequency,shot_from_set_piece,shots_off_target,successful_runs_out,total_attempt_assist,total_chipped_passes,total_long_balls,total_opposition_half_passes,total_own_half_passes,totw_appearances,was_fouled,last_active_year,team_id,aff_index,inf_index,tit_index,spesa_media_altri,fvm,quotazione,date_of_birth,height,jersey_number,preferred_foot,country,slug,link,image
97d7afbd,ELIA CAPRILE,Napoli,s_24_25,Serie A,ITA,P,4,0,325,3.6,0,,0,0,,,0,0,,3,325,,,0,0,,,,,0,0,,105,0,82.7,98,81,,0,2,0,0,,0,0,0,,0,3,7,0,0,0,0,24,60.0,1,100.0,0,0,,0,,,,,0,,,,17,0,,,,,,,3,0,,40,,,4,0,,,,,,,,,2001-08-25,191,,right,,elia-caprile,https://fbref.com/en/players/97d7afbd/Elia-Caprile,https://fbref.com/req/202302030/images/headshots/97d7afbd_2022.jpg
97d7afbd,ELIA CAPRILE,Cagliari,s_24_25,Serie A,ITA,P,18,0,1620,18.0,0,,0,0,,,0,0,,18,1620,,0.00,0,1,,,,,0,0,,756,0,68.3,706,482,,0,6,0,1,0.0,0,0,0,,0,5,44,1,0,0,0,193,47.1,4,100.0,0,0,,0,,,,,3,,,,224,0,,,,,,,23,0,,410,,,18,6,,,,,,,,,2001-08-25,191,,right,,elia-caprile,https://fbref.com/en/players/97d7afbd/Elia-Caprile,https://fbref.com/req/202302030/images/headshots/97d7afbd_2022.jpg
97d7afbd,ELIA CAPRILE,Cagliari,s_25_26,Serie A,ITA,P,2,0,180,2.0,0,,0,0,,,0,0,,2,180,,,0,1,,,,,0,0,,71,0,69.1,68,47,,0,1,0,0,,0,0,0,,0,0,5,0,0,0,0,16,43.2,1,100.0,0,0,,0,,,,,0,,,,21,0,,,,,,,1,0,,37,,,2,1,,,,,,,,,2001-08-25,191,,right,,elia-caprile,https://fbref.com/en/players/97d7afbd/Elia-Caprile,https://fbref.com/req/202302030/images/headshots/97d7afbd_2022.jpg
58aae0a9,FARIS PEMI MOUMBAGNA,SønderjyskE,s_21_22,Danish Superliga,DEN,A,10,0,333,3.7,0,,,0,,,2,0,,2,333,,,1,0,6,1,0.00,,,,,,,,,,,3,,,,,1,0,6,,,,,,,0,,,,,,,,0,,,,,,-1,,,,,6,0,,,0.00,,5,,,,,,,10,9,,,,,,,,,2000-07-01,183,,right,cameroon,faris-pemi-moumbagna,https://fbref.com/en/players/58aae0a9/Faris-Pemi-Moumbagna,https://fbref.com/req/202302030/images/headshots/58aae0a9_2022.jpg
58aae0a9,FARIS PEMI MOUMBAGNA,Marseille,s_23_24,Ligue 1,FRA,A,13,1,547,6.1,3,,,0,,,2,1,,5,547,,20.00,1,26,16,5,18.75,0,1,1,14.3,168,4,69.2,107,74,,4,3,4,2,50.0,1,3,12,,0,,,,2,1,1,1,33.3,7,30.4,16,,0,15,,,,,4,,1.7,,33,4,0,,,0.19,,11,,15,,3,,,13,11,,,,,,,,,2000-07-01,183,,right,cameroon,faris-pemi-moumbagna,https://fbref.com/en/players/58aae0a9/Faris-Pemi-Moumbagna,https://fbref.com/req/202302030/images/headshots/58aae0a9_2022.jpg
58aae0a9,FARIS PEMI MOUMBAGNA,Marseille,s_24_25,Ligue 1,FRA,A,1,0,8,0.1,0,,,0,,,0,0,,0,8,,,0,1,0,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,0,1,,0,,,,0,0,0,0,,0,,0,,0,0,,,,,0,,0.0,,0,0,0,,,,,0,,0,,0,,,1,0,,,,,,,,,2000-07-01,183,,right,cameroon,faris-pemi-moumbagna,https://fbref.com/en/players/58aae0a9/Faris-Pemi-Moumbagna,https://fbref.com/req/202302030/images/headshots/58aae0a9_2022.jpg
b136c945,HANS NICOLUSSI CAVIGLIA,Juventus,s_18_19,Serie A,ITA,C,3,0,57,0.6,0,,,0,,,0,0,,0,57,,25.00,1,2,1,1,0.00,0,0,0,0.0,37,0,85.7,28,24,,3,7,1,2,50.0,1,0,1,,0,,,,0,0,0,5,62.5,1,100.0,0,,0,0,,,,,3,,0.0,,4,0,0,,,0.00,,0,,0,,8,,,3,0,,,,,,,,,2000-06-18,180,,right,italy,hans-nicolussi-caviglia,https://fbref.com/en/players/b136c945/Hans-Nicolussi-Caviglia,https://fbref.com/req/202302030/images/headshots/b136c945_2022.jpg
b136c945,HANS NICOLUSSI CAVIGLIA,Perugia,s_19_20,Serie B,ITA,C,27,5,1872,20.8,1,,,0,,,0,0,,19,1872,,38.00,19,95,34,8,2.94,6,0,23,45.1,1012,31,74.4,798,594,,61,71,16,25,48.0,12,6,37,,0,,,,9,7,0,92,63.0,20,52.6,18,,0,76,,,,,31,,3.4,,204,0,0,,,0.03,,26,,76,,146,,,27,41,,,,,,,,,2000-06-18,180,,right,italy,hans-nicolussi-caviglia,https://fbref.com/en/players/b136c945/Hans-Nicolussi-Caviglia,https://fbref.com/req/202302030/images/headshots/b136c945_2022.jpg
b136c945,HANS NICOLUSSI CAVIGLIA,Parma,s_20_21,Serie A,ITA,C,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2000-06-18,180,,right,italy,hans-nicolussi-caviglia,https://fbref.com/en/players/b136c945/Hans-Nicolussi-Caviglia,https://fbref.com/req/202302030/images/headshots/b136c945_2022.jpg
b136c945,HANS NICOLUSSI CAVIGLIA,Juventus,s_20_21,Serie A,ITA,C,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2000-06-18,180,,right,italy,hans-nicolussi-caviglia,https://fbref.com/en/players/b136c945/Hans-Nicolussi-Caviglia,https://fbref.com/req/202302030/images/headshots/b136c945_2022.jpg
b136c945,HANS NICOLUSSI CAVIGLIA,Südtirol,s_22_23,Serie B,ITA,C,17,0,1401,15.6,2,,,0,,,1,0,,17,1401,,60.00,51,40,14,6,14.29,3,0,14,45.2,726,20,72.9,558,407,,46,69,4,45,53.3,24,21,26,,0,,,,1,0,0,99,61.1,9,36.0,16,,0,43,,,,,34,,0.5,,151,0,0,,,0.14,,8,,43,,162,,,17,13,,,,,,,,,2000-06-18,180,,right,italy,hans-nicolussi-caviglia,https://fbref.com/en/players/b136c945/Hans-Nicolussi-Caviglia,https://fbref.com/req/202302030/images/headshots/b136c945_2022.jpg
b136c945,HANS NICOLUSSI CAVIGLIA,Salernitana,s_22_23,Serie A,ITA,C,12,0,586,6.5,1,,,0,,,2,0,,6,586,,50.00,15,17,5,1,20.00,0,0,4,50.0,313,2,74.2,248,184,,4,21,0,15,40.0,6,7,13,,1,,,,0,0,0,17,58.6,9,45.0,11,,0,9,,,,,15,,0.4,,64,0,0,,,0.20,,4,,9,,29,,,12,6,,,,,,,,,2000-06-18,180,,right,italy,hans-nicolussi-caviglia,https://fbref.com/en/players/b136c945/Hans-Nicolussi-Caviglia,https://fbref.com/req/202302030/images/headshots/b136c945_2022.jpg
b136c945,HANS NICOLUSSI CAVIGLIA,Juventus,s_23_24,Serie A,ITA,C,8,1,268,3.0,0,,,0,,,1,0,,3,268,,54.55,6,5,3,0,0.00,1,0,0,0.0,163,8,78.7,136,107,,18,16,1,5,40.0,2,0,1,,0,,,,1,1,0,18,64.3,2,50.0,2,,0,11,,,,,5,,0.1,,29,0,0,,,0.00,,3,,11,,28,,,8,10,,,,,,,,,2000-06-18,180,,right,italy,hans-nicolussi-caviglia,https://fbref.com/en/players/b136c945/Hans-Nicolussi-Caviglia,https://fbref.com/req/202302030/images/headshots/b136c945_2022.jpg
b136c945,HANS NICOLUSSI CAVIGLIA,Venezia,s_24_25,Serie A,ITA,C,35,2,2861,31.8,4,,,0,,,7,1,,33,2861,,51.35,57,77,53,20,7.55,19,0,17,34.0,1739,29,79.3,1411,1119,,72,123,15,47,59.6,28,28,50,,1,,,,4,3,1,123,55.7,27,54.0,23,,0,66,,,,,54,,2.4,,292,0,0,,,0.08,,33,,66,,221,,,35,39,,,,,,,,,2000-06-18,180,,right,italy,hans-nicolussi-caviglia,https://fbref.com/en/players/b136c945/Hans-Nicolussi-Caviglia,https://fbref.com/req/202302030/images/headshots/b136c945_2022.jpg
b136c945,HANS NICOLUSSI CAVIGLIA,Fiorentina,s_25_26,Serie A,ITA,C,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2000-06-18,180,,right,italy,hans-nicolussi-caviglia,https://fbref.com/en/players/b136c945/Hans-Nicolussi-Caviglia,https://fbref.com/req/202302030/images/headshots/b136c945_2022.jpg
f5b281e7,NIELS NKOUNKOU,Marseille,s_19_20,Ligue 1,FRA,D,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2000-11-01,182,,left,france,niels-nkounkou,https://fbref.com/en/players/f5b281e7/Niels-Nkounkou,https://fbref.com/req/202302030/images/headshots/f5b281e7_2022.jpg
f5b281e7,NIELS NKOUNKOU,Everton,s_20_21,Premier League,ENG,D,2,0,81,0.9,0,,,0,,,1,0,,1,81,,50.00,6,4,1,0,0.00,0,0,2,50.0,58,0,80.6,36,29,,4,3,0,4,75.0,3,0,1,,0,,,,0,0,0,2,50.0,0,,0,,0,1,,,,,6,,0.0,,7,0,0,,,0.00,,1,,1,,4,,,2,0,,,,,,,,,2000-11-01,182,,left,france,niels-nkounkou,https://fbref.com/en/players/f5b281e7/Niels-Nkounkou,https://fbref.com/req/202302030/images/headshots/f5b281e7_2022.jpg
f5b281e7,NIELS NKOUNKOU,Everton,s_21_22,Premier League,ENG,D,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2000-11-01,182,,left,france,niels-nkounkou,https://fbref.com/en/players/f5b281e7/Niels-Nkounkou,https://fbref.com/req/202302030/images/headshots/f5b281e7_2022.jpg
f5b281e7,NIELS NKOUNKOU,Standard Liège,s_21_22,First Division A,BEL,D,23,0,1570,17.4,0,,,0,,,5,0,,18,1570,,71.43,65,37,17,2,0.00,0,0,26,59.1,1216,8,68.8,989,680,,37,73,8,54,72.2,39,25,26,,0,,,,1,0,1,87,39.4,21,43.8,27,,0,26,,,,,26,,0.9,,309,2,0,,,0.00,,15,,26,,221,,,23,6,,,,,,,,,2000-11-01,182,,left,france,niels-nkounkou,https://fbref.com/en/players/f5b281e7/Niels-Nkounkou,https://fbref.com/req/202302030/images/headshots/f5b281e7_2022.jpg
f5b281e7,NIELS NKOUNKOU,Cardiff City,s_22_23,Championship,ENG,D,18,1,1223,13.6,0,,,0,,,5,0,,15,1223,,65.33,49,39,10,2,0.00,0,0,25,46.3,889,5,67.1,715,480,,32,49,17,40,65.0,26,10,19,,0,,,,4,4,2,62,46.3,17,45.9,20,,0,20,,,,,26,,0.5,,235,1,0,,,0.00,,8,,20,,134,,,18,7,,,,,,,,,2000-11-01,182,,left,france,niels-nkounkou,https://fbref.com/en/players/f5b281e7/Niels-Nkounkou,https://fbref.com/req/202302030/images/headshots/f5b281e7_2022.jpg
f5b281e7,NIELS NKOUNKOU,Saint-Étienne,s_22_23,Ligue 2,FRA,D,20,7,1681,18.7,6,,,0,,,4,0,,19,1681,,,36,0,41,10,14.63,,,,,,,,,,,61,,,,,36,14,29,,,,,,,0,,,,,,,,0,,,,,,-36,,,,,15,0,,,0.15,,31,,,,,,,20,12,,,,,,,,,2000-11-01,182,,left,france,niels-nkounkou,https://fbref.com/en/players/f5b281e7/Niels-Nkounkou,https://fbref.com/req/202302030/images/headshots/f5b281e7_2022.jpg
f5b281e7,NIELS NKOUNKOU,Saint-Étienne,s_23_24,Ligue 2,FRA,D,1,0,90,1.0,0,,,0,,,0,0,,1,90,,,1,0,0,0,,,,,,,,,,,,2,,,,,1,1,0,,,,,,,0,,,,,,,,0,,,,,,-1,,,,,2,0,,,,,0,,,,,,,1,0,,,,,,,,,2000-11-01,182,,left,france,niels-nkounkou,https://fbref.com/en/players/f5b281e7/Niels-Nkounkou,https://fbref.com/req/202302030/images/headshots/f5b281e7_2022.jpg
f5b281e7,NIELS NKOUNKOU,Eint Frankfurt,s_23_24,Bundesliga,GER,D,29,2,1309,14.5,3,,,0,,,5,1,,13,1309,,50.00,59,32,22,7,13.64,0,0,46,56.8,1108,16,72.0,868,625,,53,57,19,54,55.6,30,16,27,,1,,,,4,4,4,56,43.8,17,38.6,27,,0,45,,,,,59,,1.3,,243,0,0,,,0.14,,15,,45,,128,,,29,2,,,,,,,,,2000-11-01,182,,left,france,niels-nkounkou,https://fbref.com/en/players/f5b281e7/Niels-Nkounkou,https://fbref.com/req/202302030/images/headshots/f5b281e7_2022.jpg
f5b281e7,NIELS NKOUNKOU,Eint Frankfurt,s_24_25,Bundesliga,GER,D,12,0,382,4.2,0,,,0,,,1,0,,4,382,,70.00,14,11,4,0,0.00,0,0,7,43.8,295,9,68.9,235,162,,23,11,4,13,76.9,10,7,5,,0,,,,1,1,2,16,39.0,3,37.5,5,,0,16,,,,,6,,0.2,,73,0,0,,,0.00,,4,,16,,41,,,12,2,,,,,,,,,2000-11-01,182,,left,france,niels-nkounkou,https://fbref.com/en/players/f5b281e7/Niels-Nkounkou,https://fbref.com/req/202302030/images/headshots/f5b281e7_2022.jpg
f5b281e7,NIELS NKOUNKOU,Eint Frankfurt,s_25_26,Bundesliga,GER,D,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2000-11-01,182,,left,france,niels-nkounkou,https://fbref.com/en/players/f5b281e7/Niels-Nkounkou,https://fbref.com/req/202302030/images/headshots/f5b281e7_2022.jpg
7c56da38,CHRISTOPHER NKUNKU,Paris S-G,s_15_16,Ligue 1,FRA,A,5,0,328,3.6,0,,,0,,,0,0,,4,328,,,0,0,,0,,,,,,,,,,,,,,,,,,,5,,,,,,,0,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,,5,,,,,,,,,,1997-11-14,175,,right,france,christopher-nkunku,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,https://fbref.com/req/202302030/images/headshots/7c56da38_2022.jpg
7c56da38,CHRISTOPHER NKUNKU,Paris S-G,s_16_17,Ligue 1,FRA,A,8,0,398,4.4,1,,,0,,,2,0,,5,398,,,2,0,7,2,14.29,,0,,,,,,,,,6,,,,,2,5,11,,0,,,,,0,,,,,,,,0,,,,,,-2,,,,,1,0,,,0.14,,5,,,,,,,8,8,,,,,,,,,1997-11-14,175,,right,france,christopher-nkunku,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,https://fbref.com/req/202302030/images/headshots/7c56da38_2022.jpg
7c56da38,CHRISTOPHER NKUNKU,Paris S-G,s_17_18,Ligue 1,FRA,A,20,0,631,7.0,4,,,0,,,0,0,,6,631,,26.32,5,37,20,13,20.00,0,0,13,68.4,439,4,90.3,361,326,,10,22,7,5,40.0,2,5,12,,0,,,,1,1,0,17,60.7,4,50.0,4,,0,20,,,,,14,,2.4,,35,2,0,,,0.20,,7,,20,,28,,,20,9,,,,,,,,,1997-11-14,175,,right,france,christopher-nkunku,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,https://fbref.com/req/202302030/images/headshots/7c56da38_2022.jpg
7c56da38,CHRISTOPHER NKUNKU,Paris S-G,s_18_19,Ligue 1,FRA,A,22,2,1156,12.8,3,,,0,,,0,0,,13,1156,,62.16,23,49,23,5,13.04,0,0,23,59.0,789,17,88.7,645,572,,15,30,17,21,76.2,16,9,21,,0,,,,6,4,2,13,61.9,11,42.3,15,,0,37,,,,,14,,2.6,,73,0,0,,,0.13,,18,,37,,21,,,22,30,,,,,,,,,1997-11-14,175,,right,france,christopher-nkunku,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,https://fbref.com/req/202302030/images/headshots/7c56da38_2022.jpg
7c56da38,CHRISTOPHER NKUNKU,RB Leipzig,s_19_20,Bundesliga,GER,A,32,13,1925,21.4,5,,,0,,,2,0,,21,1925,,40.74,22,81,52,24,9.62,3,1,55,61.1,1118,74,78.6,841,661,,121,49,32,21,61.9,13,20,24,,0,,,,23,19,3,63,49.2,25,37.9,41,,0,127,,,,,32,,7.8,,180,6,0,,,0.10,,28,,127,,128,,,32,40,,,,,,,,,1997-11-14,175,,right,france,christopher-nkunku,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,https://fbref.com/req/202302030/images/headshots/7c56da38_2022.jpg
7c56da38,CHRISTOPHER NKUNKU,RB Leipzig,s_20_21,Bundesliga,GER,A,28,6,1892,21.0,6,,,0,,,2,0,,19,1892,,55.88,19,93,55,26,10.91,6,1,36,59.0,1261,71,76.0,1001,761,,145,57,31,16,68.8,11,9,39,,0,,,,16,12,6,50,38.2,29,50.0,29,,0,143,,,,,15,,6.9,,240,16,0,,,0.11,,29,,143,,131,,,28,50,,,,,,,,,1997-11-14,175,,right,france,christopher-nkunku,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,https://fbref.com/req/202302030/images/headshots/7c56da38_2022.jpg
7c56da38,CHRISTOPHER NKUNKU,RB Leipzig,s_21_22,Bundesliga,GER,A,34,13,2723,30.3,20,,,1,,,2,0,,31,2723,,32.76,19,159,81,39,24.69,8,3,66,66.7,1396,64,78.4,1037,813,,64,47,60,23,43.5,10,15,31,,0,,,,31,19,6,45,56.3,26,48.1,28,,1,145,,,,,39,,16.1,,224,13,1,,,0.23,,42,,145,,80,,,34,61,,,,,,,,,1997-11-14,175,,right,france,christopher-nkunku,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,https://fbref.com/req/202302030/images/headshots/7c56da38_2022.jpg
