name,link_player_page,slug
Tosin Adarabioyo,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,tosin-adarabioyo
Martin Adeline,https://fbref.com/en/players/7587446d/Martin-Adeline,martin-adeline
Karim Adeyemi,https://fbref.com/en/players/501055d8/Karim-Adeyemi,karim-adeyemi
Simon Adingra,https://fbref.com/en/players/4dcec659/Simon-Adingra,simon-adingra
Amine Adli,https://fbref.com/en/players/dcfb17f4/Amine-Adli,amine-adli
Yacine Adli,https://fbref.com/en/players/26777636/Yacine-Adli,yacine-adli
Adrián,https://fbref.com/en/players/f76e6b4e/Adrian,adrian
Adryelson,https://fbref.com/en/players/e980e78d/Adryelson,adryelson
Vasilije Adžić,https://fbref.com/en/players/8b0f9fb8/Vasilije-Adzic,vasilije-adzic
Michel Aebischer,https://fbref.com/en/players/f9c927de/Michel-Aebischer,michel-aebischer
Oladapo Afolayan,https://fbref.com/en/players/5054c359/Oladapo-Afolayan,oladapo-afolayan
Emmanuel Agbadou,https://fbref.com/en/players/75f1ed80/Emmanuel-Agbadou,emmanuel-agbadou
Emmanuel Agbadou,https://fbref.com/en/players/75f1ed80/Emmanuel-Agbadou,emmanuel-agbadou
Asher Agbinone,https://fbref.com/en/players/6a10efb3/Asher-Agbinone,asher-agbinone
Jeremy Agbonifo,https://fbref.com/en/players/3d6aaa54/Jeremy-Agbonifo,jeremy-agbonifo
Julen Agirrezabala,https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala,julen-agirrezabala
Lucien Agoume,https://fbref.com/en/players/8bc8829a/Lucien-Agoume,lucien-agoume
Felix Agu,https://fbref.com/en/players/cb6d81b3/Felix-Agu,felix-agu
Álvaro Aguado,https://fbref.com/en/players/014aa7bd/Alvaro-Aguado,alvaro-aguado
Lorenzo Aguado,https://fbref.com/en/players/beae81e1/Lorenzo-Aguado,lorenzo-aguado
Nayef Aguerd,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,nayef-aguerd
Ruben Aguilar,https://fbref.com/en/players/3dd738a1/Ruben-Aguilar,ruben-aguilar
Naouirou Ahamada,https://fbref.com/en/players/a6c58494/Naouirou-Ahamada,naouirou-ahamada
Honest Ahanor,https://fbref.com/en/players/42ff58c3/Honest-Ahanor,honest-ahanor
Erik Ahlstrand,https://fbref.com/en/players/f6b692c0/Erik-Ahlstrand,erik-ahlstrand
