slug,role,team_name_short,presenze_pred,presenze_pred.1,starts_pred,titolare_pred,fmv_pred,mv_pred,gf_pred,assist_pred,clean_sheet_pred,price,prezzo_medio
gianluca-gaetano,C,Cagliari,18.0,18.0,15.0,0,6.24,6.07,1.01,0.76,0.0,1.85,3.0
cher-ndour,C,Fiorentina,9.0,9.0,1.0,0,5.81,5.75,0.37,0.16,0.0,1.08,1.0
filip-marchwinski,C,Lecce,12.0,12.0,3.0,0,6.01,5.92,0.67,0.68,0.0,0.89,0.0
yunus-musah,C,Milan,22.0,22.0,16.0,0,5.9,5.82,0.04,1.81,0.0,1.56,1.0
emirhan-ilkhan,C,Torino,6.0,6.0,1.0,0,5.88,5.8,0.64,0.17,0.0,0.8,1.0
vasilije-adzic,C,Juventus,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,0.8,1.0
gabriele-piccinini,C,Pisa,15.0,15.0,7.0,0,5.95,5.84,0.64,0.65,0.0,2.13,1.0
medon-berisha,C,Lecce,6.0,6.0,3.0,0,5.9,5.82,0.15,0.38,0.0,1.74,1.0
hamza-rafia,C,Lecce,17.0,17.0,10.0,0,5.82,5.81,0.27,0.12,0.0,1.37,0.0
edoardo-iannoni,C,Sassuolo,17.0,17.0,8.0,0,5.93,5.87,0.49,0.35,0.0,0.87,0.0
reda-belahyane,C,Lazio,7.0,7.0,1.0,0,5.95,5.92,0.03,0.24,0.0,1.18,0.0
andrea-ghion,C,Sassuolo,8.0,8.0,4.0,0,5.89,5.87,0.01,0.07,0.0,1.76,0.0
oier-zarraga,C,Udinese,14.0,14.0,8.0,0,6.02,5.96,0.98,0.35,0.0,1.27,0.0
alessandro-bianco,C,Fiorentina,15.0,15.0,15.0,0,5.95,5.93,0.32,0.15,0.0,0.89,0.0
dele-alli,C,Como,2.0,2.0,1.0,0,5.89,5.85,0.68,0.33,0.0,0.3,1.0
mikael-ellertsson,C,Genoa,9.0,9.0,6.0,0,6.01,5.88,0.82,0.75,0.0,1.95,0.0
niccolo-pisilli,C,Roma,15.0,15.0,11.0,0,6.16,6.03,0.99,0.11,0.0,2.14,1.0
balthazar-pierret,C,Lecce,24.0,24.0,19.0,1,5.8,5.77,0.99,0.24,0.0,1.85,0.0
santiago-pierotti,C,Lecce,24.0,24.0,20.0,0,6.13,5.96,3.78,0.91,0.0,6.62,2.0
mandela-keita,C,Parma,25.0,25.0,18.0,0,5.76,5.72,0.04,0.67,0.0,2.32,1.0
michel-aebischer,C,Pisa,20.0,20.0,14.0,0,5.96,5.89,0.84,0.92,0.0,2.04,1.0
alberto-dossena,D,Como,22.0,22.0,19.0,1,5.89,5.85,0.06,0.79,0.0,2.18,0.0
alberto-moreno,D,Como,17.0,17.0,14.0,0,5.94,5.89,0.05,0.75,0.0,1.64,0.0
tiago-gabriel,D,Lecce,24.0,24.0,23.0,0,6.08,6.05,0.2,0.05,0.0,1.37,1.0
marco-palestra,D,Cagliari,21.0,21.0,3.0,0,6.08,6.08,0.11,2.03,0.0,1.78,1.5
ivan-smolcic,D,Como,21.0,21.0,18.0,0,5.76,5.7,0.17,0.7,0.0,1.75,1.0
botond-balogh,D,Parma,14.0,14.0,11.0,0,5.79,5.79,0.01,0.09,0.0,1.64,1.0
jonas-rouhi,D,Juventus,3.0,3.0,1.0,0,6.0,6.0,0.13,0.02,0.0,0.74,0.0
ignace-van-der-brempt,D,Como,5.0,5.0,3.0,0,5.97,5.92,0.11,0.2,0.0,1.78,1.5
lautaro-valenti,D,Parma,14.0,14.0,13.0,0,5.78,5.75,0.35,0.22,0.0,1.92,1.0
filippo-terracciano,D,Cremonese,25.0,25.0,24.0,0,5.98,5.91,2.03,0.82,0.0,3.21,1.0
domagoj-bradaric,D,Verona,21.0,21.0,15.0,0,5.88,5.81,0.23,0.82,0.0,1.21,1.0
nicolas-valentini,D,Verona,6.0,6.0,4.0,0,5.78,5.76,0.12,0.07,0.0,2.83,1.0
tobias-slotsager,D,Verona,1.0,1.0,1.0,0,6.0,6.0,0.01,0.03,0.0,1.38,0.0
sebastian-otoa,D,Genoa,3.0,3.0,2.0,0,6.0,6.0,0.06,0.03,0.0,1.1,0.0
marc-oliver-kempf,D,Como,19.0,19.0,19.0,1,5.73,5.71,0.33,0.14,0.0,3.22,1.5
filippo-romagna,D,Sassuolo,10.0,10.0,7.0,0,5.39,5.38,0.01,0.02,0.0,1.92,0.0
rui-modesto,D,Udinese,11.0,11.0,4.0,0,5.95,5.9,0.23,0.38,0.0,1.51,0.0
luca-marianucci,D,Napoli,5.0,5.0,4.0,0,5.86,5.85,0.1,0.01,0.0,1.92,0.0
adam-obert,D,Cagliari,19.0,19.0,13.0,0,5.87,5.83,0.06,0.84,0.0,2.05,1.0
alessandro-marcandalli,D,Genoa,9.0,9.0,7.0,0,5.8,5.78,0.3,0.04,0.0,0.97,0.0
matteo-palma,D,Udinese,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,1.1,1.0
fellipe-jack,D,Como,3.0,3.0,2.0,0,6.0,6.0,0.02,0.02,0.0,1.24,0.0
martin-frese,D,Verona,11.0,11.0,6.0,0,5.93,5.83,0.69,0.73,0.0,1.92,1.0
yeferson-paz,D,Sassuolo,9.0,9.0,5.0,0,5.95,5.94,0.02,0.05,0.0,1.75,1.0
romano-floriani-mussolini,D,Cremonese,11.0,11.0,8.0,0,5.82,5.78,0.22,0.16,0.0,2.18,1.5
alessandro-di-pardo,D,Cagliari,14.0,14.0,9.0,0,5.77,5.71,0.11,0.69,0.0,0.74,0.0
ali-dembele,D,Torino,8.0,8.0,2.0,0,6.13,5.92,2.22,0.2,0.0,1.0,1.0
francesco-rossi,P,Atalanta,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,0.68,1.0
boris-radunovic,P,Cagliari,2.0,2.0,2.0,1,4.86,6.1,0.0,0.0,0.7,0.34,0.0
raffaele-di-gennaro,P,Inter,1.0,1.0,1.0,0,6.06,6.06,0.0,0.0,0.0,0.84,1.0
federico-ravaglia,P,Bologna,3.0,3.0,3.0,0,6.0,6.0,0.0,0.0,1.0,2.96,1.0
mauro-vigorito,P,Como,7.0,7.0,7.0,0,5.26,6.16,0.0,0.0,1.82,0.84,1.0
christian-fruchtl,P,Lecce,4.0,4.0,3.0,0,4.94,6.21,0.0,0.0,0.22,0.84,0.0
giacomo-satalino,P,Sassuolo,2.0,2.0,2.0,0,5.88,5.88,0.0,0.0,0.55,0.84,0.0
marco-sportiello,P,Atalanta,1.0,1.0,1.0,0,5.01,6.12,0.0,0.0,0.14,0.84,1.0
daniele-sommariva,P,Genoa,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,0.84,0.0
alberto-paleari,P,Torino,1.0,1.0,1.0,1,5.18,6.35,0.0,0.0,0.5,0.84,1.0
tommaso-martinelli,P,Fiorentina,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,0.68,1.0
simone-perilli,P,Verona,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,0.84,0.0
giuseppe-ciocci,P,Cagliari,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,0.84,0.0
daniele-padelli,P,Udinese,1.0,1.0,1.0,0,4.98,6.23,0.0,0.0,0.21,0.84,0.0
pietro-terracciano,P,Milan,1.0,1.0,1.0,1,5.18,6.15,0.0,0.0,0.26,0.84,1.0
pierluigi-gollini,P,Roma,1.0,1.0,1.0,0,5.05,6.07,0.0,0.0,0.25,0.84,1.0
carlo-pinsoglio,P,Juventus,1.0,1.0,0.0,0,5.81,6.16,0.0,0.0,0.22,0.84,1.0
louis-buffon,A,Pisa,4.0,4.0,1.0,0,5.9,5.76,0.42,0.33,0.0,0.68,1.0
malthe-hojholt,C,Pisa,22.0,22.0,16.0,0,6.01,5.97,0.44,0.83,0.0,0.39,0.0
jakub-piotrowski,C,Udinese,25.0,25.0,23.0,0,6.07,5.98,1.16,0.82,0.0,1.85,1.0
luca-lipani,C,Sassuolo,4.0,4.0,2.0,0,6.19,6.01,0.57,0.42,0.0,0.87,0.0
antoine-bernede,C,Verona,15.0,15.0,11.0,0,5.98,5.88,0.94,0.96,0.0,1.66,0.0
michel-ndary-adopo,C,Cagliari,27.0,27.0,24.0,0,6.1,5.87,2.28,2.34,0.0,2.04,1.0
lorenzo-venturino,C,Genoa,6.0,6.0,1.0,0,6.61,6.37,0.99,0.9,0.0,1.66,1.0
cheikh-tidiane-niasse,C,Verona,16.0,16.0,11.0,0,5.78,5.75,0.29,0.29,0.0,1.66,1.0
guray-vural,C,Pisa,7.0,7.0,5.0,0,6.17,5.94,1.69,0.62,0.0,0.3,0.0
filippo-missori,D,Sassuolo,4.0,4.0,1.0,0,5.79,5.76,0.17,0.02,0.0,1.75,1.0
mateus-lusuardi,D,Pisa,3.0,3.0,2.0,0,6.0,6.0,0.14,0.01,0.0,1.64,0.0
daniel-denoon,D,Pisa,4.0,4.0,3.0,0,5.92,5.89,0.22,0.03,0.0,1.24,0.0
giuseppe-pezzella,D,Cremonese,5.0,5.0,4.0,0,5.92,5.89,0.17,0.06,0.0,3.96,3.0
mihajlo-ilic,D,Bologna,5.0,5.0,4.0,0,6.04,6.0,0.19,0.09,0.0,0.94,1.0
christ-owen-kouassi,D,Lecce,15.0,15.0,12.0,0,5.81,5.78,0.34,0.25,0.0,2.05,0.0
davide-bartesaghi,D,Milan,10.0,10.0,7.0,0,6.0,6.0,0.08,0.03,0.0,1.38,0.0
torbjorn-heggem,D,Bologna,8.0,8.0,7.0,0,5.96,5.91,0.43,0.21,0.0,2.18,0.0
zachary-athekame,D,Milan,8.0,8.0,4.0,0,5.96,5.92,0.01,0.33,0.0,2.59,1.0
mathias-lovik,D,Parma,2.0,2.0,1.0,0,6.0,6.0,0.09,0.02,0.0,1.24,1.0
edoardo-corvi,P,Parma,2.0,2.0,2.0,0,6.0,6.0,0.0,0.0,0.42,0.84,1.0
lapo-nava,P,Cremonese,1.0,1.0,1.0,0,6.0,6.0,0.0,0.0,0.26,0.84,0.0
nikita-contini-baranovsky,P,Napoli,6.0,6.0,6.0,0,5.01,6.14,0.0,0.0,1.15,0.84,1.0
giovane,A,Hellas Verona,22.0,22.0,21.0,0,6.48,6.18,5.25,4.1,0.0,10.0,3.0
jon-rowe,A,Marseille,23.0,23.0,0.0,0,16.0,6.0,3.17,1.24,0.0,11.05,10.0
arkadiusz-milik,A,Juventus,1.0,1.0,1.0,0,6.01,5.91,0.0,0.0,0.0,1.0,0.5
kamaldeen-sulemana,A,Atalanta,21.0,21.0,17.0,0,6.0,6.0,2.49,1.18,0.0,5.1,2.0
leon-bailey,C,Roma,25.0,25.0,20.0,1,6.61,6.08,5.43,5.99,0.0,21.45,9.0
nemanja-matic,C,Sassuolo,27.0,27.0,24.0,1,6.07,5.99,0.56,2.01,0.0,2.2,0.0
aster-vranckx,C,Sassuolo,15.0,15.0,9.0,0,6.19,5.97,2.64,1.3,0.0,2.15,0.0
andy-diouf,C,Inter,18.0,18.0,12.0,0,6.11,5.99,0.73,1.59,0.0,6.7,1.0
christian-ordonez,C,Parma,1.0,1.0,1.0,0,5.88,5.88,0.05,0.03,0.0,1.0,1.0
yellu-santiago,C,Hellas Verona,3.0,3.0,2.0,0,6.0,6.0,0.19,0.15,0.0,0.5,0.0
miguel-gutierrez,D,Napoli,28.0,28.0,26.0,1,6.28,6.08,1.47,4.71,0.0,19.7,9.0
victor-nelsson,D,Hellas Verona,21.0,21.0,14.0,0,5.64,5.62,0.21,0.13,0.0,1.7,1.0
jakob-sorensen,D,Parma,13.0,13.0,10.0,0,5.88,5.83,0.34,0.23,0.0,1.1,
rafik-belghali,D,Hellas Verona,2.0,2.0,1.0,0,5.88,5.88,0.02,0.01,0.0,1.0,1.0
marco-pellegrino,D,Milan,8.0,8.0,5.0,0,5.46,5.45,0.04,0.08,0.0,1.0,30.0
jamil-siebert,D,Lecce,13.0,13.0,8.0,0,5.83,5.76,0.42,0.3,0.0,0.5,1.5
fallou-cham,D,Hellas Verona,1.0,1.0,0.0,0,5.88,5.88,0.01,0.01,0.0,0.5,0.0
nicolas-andrade,P,Pisa,2.0,2.0,2.0,1,4.52,5.45,0.0,0.0,0.0,0.5,0.0
