slug,role,team_name_short,presenze_pred,presenze_pred.1,starts_pred,titolare_pred,fmv_pred,mv_pred,gf_pred,assist_pred,clean_sheet_pred,price,prezzo_medio
bryan-cristante,C,Roma,26.0,26.0,23.0,1,6.1,5.97,1.82,2.18,0.0,3.57,3.0
nicolas-gonzalez,A,Juventus,9.0,9.0,8.0,1,6.09,5.79,2.54,1.43,0.0,13.01,1.0
juan-cuadrado,D,Pisa,26.0,26.0,20.0,1,6.25,6.0,2.89,4.14,0.0,5.4,5.0
tomas-suslov,C,Verona,31.0,31.0,25.0,1,6.09,5.95,2.43,2.65,0.0,3.74,1.0
alessandro-zanoli,D,Napoli,20.0,20.0,13.0,0,5.97,5.87,0.73,1.55,0.0,3.2,0.0
clinton-njie,A,Torino,14.0,14.0,8.0,0,6.23,6.01,2.1,1.63,0.0,1.06,0.0
samuel-chukwueze,C,Milan,21.0,21.0,11.0,0,6.31,6.01,3.77,2.99,0.0,3.14,1.0
faustino-anjorin,C,Torino,23.0,23.0,17.0,0,6.21,6.1,3.48,2.27,0.0,8.79,2.0
marten-de-roon,C,Atalanta,31.0,31.0,29.0,1,6.06,5.98,2.17,1.05,0.0,5.23,3.0
elseid-hysaj,D,Lazio,22.0,22.0,18.0,0,5.87,5.82,0.98,0.51,0.0,1.83,0.0
mattia-valoti,C,Cremonese,21.0,21.0,11.0,0,6.08,5.78,4.71,1.6,0.0,1.98,0.0
tete-morente,C,Lecce,31.0,31.0,23.0,1,6.02,5.87,2.37,2.94,0.0,3.9,1.0
sebastiano-luperto,D,Cagliari,32.0,32.0,32.0,1,5.94,5.92,0.2,0.33,0.0,6.45,6.0
federico-baschirotto,D,Cremonese,27.0,27.0,21.0,1,6.05,5.93,2.08,0.07,0.0,6.23,8.0
alex-jimenez,D,Milan,26.0,26.0,13.0,0,6.07,6.01,2.36,3.67,0.0,7.82,5.0
ivan-ilic,C,Torino,23.0,23.0,18.0,0,6.22,6.03,2.5,2.61,0.0,3.11,1.0
honest-ahanor,D,Atalanta,16.0,16.0,10.0,0,6.24,6.14,1.42,0.04,0.0,4.08,2.0
marco-brescianini,C,Atalanta,21.0,21.0,13.0,0,6.22,6.04,2.79,1.71,0.0,4.13,1.0
mattia-viti,D,Fiorentina,19.0,19.0,17.0,0,5.91,5.89,0.67,0.03,0.0,3.14,1.0
